k,time_ms,pairs_tried,speedup
2,0.11449980549514294,7,1.0
3,0.2756934346897261,34,2.4078070132741054
4,0.6476196770866712,209,5.656076656952427
5,2.396410098299384,1546,20.929381390093624
6,16.99805213138461,13327,148.4548559526214
7,170.73999415151775,130922,1491.1815213411915
8,1989.8789480794221,1441729,17378.884963816225
